,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,GF_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-01-06,40489,10808,8170,13938,9930,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,224.6999969482422,-0.09898984909481588,4008,,2638,,,,,-0.014018664616225807,
2015-01-13,41785,11535,7891,13867,9216,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,221.5500030517578,-0.11130788560488214,4651,1.5880856528933784,3644,2.484625453826965,0.03400771130269029,0.05178626582930094,-0.014018664616225807,-0.031934086440023046,
2015-01-20,41516,11875,8190,13858,9280,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,214.4750061035156,-0.11027073899219578,4578,-0.1747038410913007,3685,0.09812133540744288,0.0031549831446105975,0.03184649887864441,-0.031934086440023046,-0.017251484330278566,
2015-01-27,41292,12135,8493,14327,9516,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,210.7749938964844,-0.11651167296328586,4811,0.5612294055303979,3642,-0.10357452548415069,0.029568426791930547,0.027292999806088812,-0.017251484330278566,-0.05349303391284532,
2015-02-03,36983,10072,8405,13884,7564,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,199.5,-0.17088932752886463,6320,3.6544609125254284,1667,-4.78300881526688,0.11166542334949646,0.1164150024354603,-0.05349303391284532,0.012656611009946861,
2015-02-10,36659,9371,8853,13820,7218,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,202.0249938964844,-0.18009220109659294,6602,0.7625125057458833,518,-3.106832869156099,0.019488544538454226,0.06304872695346796,0.012656611009946861,-0.002846167383313114,
2015-02-17,38487,9578,9354,13791,7412,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,201.4499969482422,-0.16574427728843505,6379,-0.608309010065741,224,-0.8019858697727706,0.010517379616092063,0.037396999788717515,-0.002846167383313114,-0.02903941887986028,
2015-02-24,39531,9781,8712,13522,7837,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,195.6000061035156,-0.14381118615769903,5685,-1.803206277444332,1069,2.1955465481851015,0.032492157872559574,0.045692964905639975,-0.02903941887986028,0.03642637923144698,
2015-03-03,39793,10597,9056,14357,8350,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,202.7250061035156,-0.1509561983263388,6007,0.8145506058536339,1541,1.1939996458475628,0.05936495353855639,0.05902406757238081,0.03642637923144698,0.04686151048948095,
2015-03-10,40547,12058,10515,13958,7853,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,212.2250061035156,-0.15056600981576934,6105,0.24627447038423844,1543,0.005026009599678335,0.04108018889551144,0.1293580826651309,0.04686151048948095,-0.0030628301876752806,
2015-03-17,41662,12890,10361,14457,8383,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,211.5749969482422,-0.14579232874081896,6074,-0.07645448491873628,2529,2.4317458751572247,0.045052539404553414,0.04240677820308804,-0.0030628301876752806,0.026468184730190858,
2015-03-24,42131,13076,11184,14510,8592,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,217.1750030517578,-0.14046663976644277,5918,-0.37444193749699967,1892,-1.5289712447794153,0.011341009436412431,0.04159109645507007,0.026468184730190858,0.004374338367182151,
2015-03-31,40786,13055,10187,13669,8538,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,218.125,-0.12580297160790468,5131,-1.8679831952718902,2868,2.316583988037312,0.0403026072859909,0.04380001721022287,0.004374338367182151,-0.002063023258416896,
2015-04-07,41392,14010,10380,13772,9488,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,217.6750030517578,-0.10349826053343641,4284,-2.076692982886285,3630,1.8682881380865983,0.04527085124677558,0.04706847068470685,-0.002063023258416896,-0.020558199337438743,
2015-04-14,39896,13106,8631,12981,8968,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,213.1999969482422,-0.10058652496490876,4013,-0.6547158871279474,4475,2.041457286432161,0.05972937263656659,0.12204996089616782,-0.020558199337438743,-0.0025797516868225623,
2015-04-21,38531,13379,8104,12526,9566,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,212.6499938964844,-0.0768212608029898,2960,-2.6393623420894325,5275,2.0052135552436336,0.04766431287343835,0.03723874691616627,-0.0025797516868225623,0.015636079484910637,
2015-04-28,37967,12922,8266,12532,9616,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,215.9750061035156,-0.07680353991624306,2916,-0.11419376605849836,4656,-1.6064986634138745,0.0025284450063211127,0.02921464980177459,0.015636079484910637,-0.002778127498827443,
2015-05-05,38443,12871,8718,12439,9261,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,215.375,-0.08266784590172463,3178,0.6900729580951879,4153,-1.32483472489267,0.02064516129032258,0.023298902218722498,-0.002778127498827443,0.010795110612848324,
2015-05-12,37919,14448,8486,10877,9952,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,217.6999969482422,-0.024394103220021626,925,-5.8606248211638015,5962,4.7056681320396425,0.1081664986317154,0.07887852097322752,0.010795110612848324,0.007579279643562309,
2015-05-19,38931,15570,8426,11085,11155,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,219.3500061035156,0.0017980529655030695,-70,-2.624014346369894,7144,3.117170811466547,0.06344424460431655,0.049258209701616935,0.007579279643562309,0.001139730991764898,
2015-05-26,38630,16144,8159,10682,11777,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,219.6000061035156,0.028345845198032616,-1095,-2.632863270915209,7985,2.1602322056972594,0.04563871944432076,0.03460478130271983,0.001139730991764898,0.01696261721855641,
2015-06-02,41208,17948,9031,10912,13136,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,223.3249969482422,0.0539701028926422,-2224,-2.922599016308568,8917,2.4126326689101734,0.06607618097139055,0.09918825753363728,0.01696261721855641,0.004030042169806958,
2015-06-09,42901,18064,9946,11694,13198,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,224.2250061035156,0.03505745786811496,-1504,1.7472335468841003,8118,-1.9389438943894388,0.03390647597621726,0.036808282756158515,0.004030042169806958,0.002787378673150487,
2015-06-16,44762,18234,10690,12427,13287,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,224.8500061035156,0.01921272507930834,-860,1.5011305097783267,7544,-1.337964150019813,0.031967021855798396,0.03160005531738349,0.002787378673150487,0.002223704631654888,
2015-06-23,46704,19728,10999,12668,13654,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,225.3500061035156,0.021111682082905106,-986,-0.2814887627898664,8729,2.647334792904696,0.023098548742496772,0.05867803560386631,0.002223704631654888,-0.047148878243736814,
2015-06-30,43410,17078,8830,12224,12811,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,214.7250061035156,0.013522229900944482,-587,0.85431654676259,8248,-1.0298903734155533,0.05140802875973637,0.18600432298903813,-0.047148878243736814,0.011177058229200343,-0.08088287408984306
2015-07-07,43125,16559,8792,12288,13311,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,217.125,0.023721739130434783,-1023,-1.004376871688551,7767,-1.1080396222068647,0.022032110629321457,0.021971519861149463,0.011177058229200343,-0.013010924344235786,-0.07700862915575869
2015-07-14,42628,14876,8298,11981,12008,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,214.3000030517578,0.0006333865065215351,-27,2.3095652173913046,6578,-2.7571014492753623,0.06711409395973154,0.09394148614826961,-0.013010924344235786,-0.005716313980731802,-0.07423570002496296
2015-07-21,42992,15704,8394,11903,12550,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,213.0749969482422,0.015049311499813919,-647,-1.454443089049451,7310,1.7171811954583842,0.02535476219686746,0.03834343099012366,-0.005716313980731802,-0.008565045051651454,-0.0711569065241086
2015-07-28,41862,15607,8575,11382,12545,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,211.25,0.027781759113276957,-1163,-1.2002232973576479,7032,-0.6466319315221436,0.0219835332469595,0.011496154164254405,-0.008565045051651454,0.012781050642566516,-0.0678589510028624
2015-08-04,42493,15724,9061,11354,12472,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,213.9499969482422,0.02631021580024945,-1118,0.1074960584778558,6663,-0.8814676795184175,0.004239066565936372,0.0243292313899536,0.012781050642566516,0.0005842486645617484,-0.0648212359446975
2015-08-11,42074,15616,9458,11647,12232,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,214.0749969482422,0.013904073774777773,-585,1.2543242416397995,6158,-1.1884310356999976,0.022320867708027974,0.0201403844619925,0.0005842486645617484,0.0022188770771323085,-0.06236107001596391
2015-08-18,43275,16361,10017,11324,12069,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,214.5500030517578,0.017215482380127094,-745,-0.3802823596520416,6344,0.4420782430954984,0.02077544564613346,0.049435135340056106,0.0022188770771323085,-0.017012393863228614,-0.05994965933729448
2015-08-25,41363,13771,10690,12425,9548,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,210.8999938964844,-0.06955491622948046,2877,8.369728480647025,3081,-7.540150202195263,0.1648386656350976,0.13339601815134294,-0.017012393863228614,-0.050379328153110525,-0.06023216689294702
2015-09-01,34320,10508,9536,11972,6838,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,200.2749938964844,-0.1495920745920746,5134,5.456567463675265,972,-5.098759761139182,0.1681552365762892,0.22036519656755138,-0.050379328153110525,0.020097412447575902,-0.06278530711292209
2015-09-08,35844,10932,9898,11462,6544,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,204.3000030517578,-0.13720566901015513,4918,-0.6293706293706294,1034,0.18065268065268067,0.04465178273908697,0.03773403744599136,0.020097412447575902,-0.029246235997372416,-0.06485253938784523
2015-09-15,36558,10175,9652,12098,6759,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,198.3249969482422,-0.14604190601236391,5339,1.1745340921772125,523,-1.4256221403861176,0.04512912976613459,0.05058758258939829,-0.029246235997372416,-0.013235850449477393,-0.0670468465939133
2015-09-22,38008,10196,10439,13337,7567,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,195.6999969482422,-0.15181014523258263,5770,1.178948520159746,-243,-2.095300618195744,0.0979238423268274,0.03915677247395202,-0.013235850449477393,-0.0760091989369528,-0.06927745971598355
2015-09-29,35702,9293,10212,12795,7079,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,180.8249969482422,-0.16010307545795754,5716,-0.14207535255735634,-919,-1.7785729320143127,0.0518265069940626,0.05793386311202256,-0.0760091989369528,0.009401338182954966,-0.07160632165808545
2015-10-06,34932,9626,10564,12301,7426,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,182.5249938964844,-0.13955685331501202,4875,-2.355610329953504,-938,-0.05321830709764159,0.042631925786992445,0.03392768697374938,0.009401338182954966,0.039309701639146155,-0.0733050849495086
2015-10-13,35041,9546,10423,13003,7514,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,189.6999969482422,-0.15664507291458576,5489,1.7577006755983053,-877,0.17462498568647658,0.03850465467660964,0.011067154088837699,0.039309701639146155,0.027279932182443734,-0.07533776758280317
2015-10-20,33766,9651,10116,12091,6899,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,194.875,-0.15376414144405615,5192,-0.8475785508404441,-465,1.1757655318055993,0.08041074249605056,0.020842818839479943,0.027279932182443734,-0.011674118776058506,-0.07720506219854728
2015-10-27,34313,10749,9519,12115,7507,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,192.6000061035156,-0.13429312505464402,4608,-1.7295504353491677,1230,5.019842445063081,0.032208745285903576,0.08362936648904677,-0.011674118776058506,-0.010124673651272564,-0.07853269156729371
2015-11-03,34198,10851,9678,12535,7628,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,190.6499938964844,-0.1434879232703667,4907,0.8713898522425902,1173,-0.166117797919156,0.02683132470366513,0.012713722051731697,-0.010124673651272564,-0.10018353766692045,-0.08000894683327266
2015-11-10,34728,10256,10886,11774,6460,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,171.5500030517578,-0.15301773784842201,5314,1.1901280776653607,-630,-5.272238142581438,0.10579137874300756,0.08528048434395989,-0.10018353766692045,0.01122123589340318,-0.08163136441138709
2015-11-17,35149,11614,11795,11279,6108,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,173.47500610351562,-0.14711656092634215,5171,-0.4117714812255241,-181,1.2929048606311908,0.04871455685282107,0.09684309453628946,0.01122123589340318,-0.050727786379247575,-0.08305495563997307
2015-11-24,33664,11263,11221,10633,5972,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,164.6750030517578,-0.13845651140684412,4661,-1.4509658880764744,42,0.6344419471393211,0.04709424872026498,0.04114036648283224,-0.050727786379247575,-0.0016700115389522985,-0.08423371214565117
2015-12-01,34973,11891,11597,11055,6348,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,164.39999389648438,-0.1345895405026735,4707,0.1366444866920152,294,0.748574144486692,0.04585416307533184,0.04274523160762943,-0.0016700115389522985,-0.06417267752218792,-0.08528279190308914
2015-12-08,34635,13101,11284,9920,6400,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,153.85000610351562,-0.10163129782012416,3520,-3.394046836130729,1817,4.354787979298315,0.07273284313725491,0.06245642813204839,-0.06417267752218792,-0.034611712679740836,-0.0856164348809878
2015-12-15,35640,13764,11507,9349,6615,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,148.52499389648438,-0.07671156004489338,2734,-2.2693806842789086,2257,1.270391222751552,0.04923578050613881,0.035059950140477227,-0.034611712679740836,0.06817034449472326,-0.08543833738426593
2015-12-22,34681,12845,10704,10003,5701,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,158.64999389648438,-0.12404486606499236,4302,4.399551066217732,2141,-0.3254769921436588,0.09984717269485481,0.07312412416663128,0.06817034449472326,0.024109753256763344,-0.08619532814271154
2015-12-29,34560,12489,10283,10112,5548,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,162.47500610351562,-0.1320601851851852,4564,0.7554568784060437,2206,0.18742250800149937,0.01673052362707535,0.034120850166871594,0.024109753256763344,0.03262032678178217,-0.08707734462429756
2016-01-05,35530,12915,9807,11088,6784,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,167.77499389648438,-0.12113706726709823,4304,-0.7523148148148148,3108,2.6099537037037037,0.123769024171889,0.03969720975266262,0.03262032678178217,-0.04500067392419049,-0.08750325266607223
2016-01-12,37005,13561,9899,11315,7472,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,160.22500610351562,-0.103850830968788,3843,-1.297495074584858,3662,1.559245707852519,0.04870389098844946,0.031457800511508954,-0.04500067392419049,-0.022936513726100394,-0.08735984776922427
2016-01-19,36880,13342,9622,11095,6999,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,156.5500030517578,-0.11106290672451193,4096,0.6836913930549925,3720,0.15673557627347656,0.038299988946612136,0.021599024560181153,-0.022936513726100394,0.029064215669504012,-0.08737508176407652
2016-01-26,36849,13289,10294,11230,6830,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,161.10000610351562,-0.11940622540638823,4400,0.824295010845987,2995,-1.965835140997831,0.016832779623477297,0.030742483992706612,0.029064215669504012,-0.02017380432569127,-0.08743074623413616
2016-02-02,37387,12784,9837,11805,7270,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,157.85000610351562,-0.12129884719287452,4535,0.36636000976960026,2947,-0.13026133680696897,0.05321100917431193,0.04252685557667654,-0.02017380432569127,-0.056065921832856525,-0.08647708315075174
2016-02-09,38608,13258,11510,11652,6660,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,149.0,-0.12929962702030667,4992,1.2223500147109958,1748,-3.206997084548105,0.041666666666666664,0.0866844315245478,-0.056065921832856525,0.03691275167785224,-0.08550030288005392
2016-02-16,39377,13202,10535,11808,7039,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,154.5,-0.1211113086319425,4769,-0.5776004973062578,2667,2.380335681723995,0.028386480606993156,0.043434300880481946,0.03691275167785224,0.016343002566241882,-0.08464197655973675
2016-02-23,40145,13510,10822,11902,6829,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,157.02499389648438,-0.12636691991530702,5073,0.7720242781319043,2688,0.05333062447621708,0.01622977950990337,0.024453394706559262,0.016343002566241882,0.006527681548258224,-0.08430650990122923
2016-03-01,40972,13835,10022,12423,7510,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,158.0500030517578,-0.11991115884018354,4913,-0.39855523726491465,3813,2.8023415120189314,0.06030201173932674,0.04715597099383829,0.006527681548258224,0.005852597493812839,-0.08370948991111084
2016-03-08,40546,14480,10542,12626,7203,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,158.97500610351562,-0.13374932175800325,5423,1.24475251391194,3938,0.30508640046861274,0.025719905189369105,0.04655902805531133,0.005852597493812839,0.03145148487520277,-0.08338609206384612
2016-03-15,42580,16345,11231,12360,8350,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,163.97500610351562,-0.09417566932832315,4010,-3.484930695999605,5114,2.9004094115325803,0.06822790922259778,0.09261676820423556,0.03145148487520277,-0.014788857822800927,-0.0823934639982212
2016-03-22,41832,16243,11485,12575,8776,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,161.5500030517578,-0.0908156435264869,3799,-0.49553781117895723,4758,-0.8360732738374824,0.030022013020467427,0.012839007501442585,-0.014788857822800927,-0.0035592506182619,-0.08143863714745282
2016-03-29,38738,13968,10581,11568,7235,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,160.97500610351562,-0.11185399349475966,4333,1.27653471026965,3387,-3.277395295467585,0.13551029091102484,0.129496109821174,-0.0035592506182619,-0.05187144455298931,-0.08117038756835387
2016-04-05,39179,13476,10911,12242,7402,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,152.625,-0.12353556752341815,4840,1.3087924002271671,2565,-2.1219474417884245,0.04281205457137039,0.033706482962233976,-0.05187144455298931,0.017362777372543103,-0.08155572039508428
2016-04-12,40306,13369,12496,12844,7462,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,155.27499389648438,-0.13352850692204635,5382,1.3833941652415835,873,-4.318640087802139,0.032601201615286124,0.0654165861202397,0.017362777372543103,-0.03284489483301167,-0.08218922004810617
2016-04-19,41974,14426,13625,13334,8305,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,150.1750030517578,-0.11981226473531234,5029,-0.87580012901305,801,-0.17863345407631617,0.06160173760340126,0.07792948557983673,-0.03284489483301167,-0.023972072784142928,-0.08301597012372776
2016-04-26,44186,16079,14852,13046,9465,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,146.5749969482422,-0.08104376951975739,3581,-3.4497546099966643,1227,1.0149139943774719,0.06432410821376217,0.0931104716950632,-0.023972072784142928,-0.02166128683515478,-0.08309751300071841
2016-05-03,43486,15563,15301,13314,8717,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,143.39999389648438,-0.10571218323138482,4597,2.299370841442991,262,-2.1839496673154395,0.04611683536834461,0.03126620010368066,-0.02166128683515478,0.04741982804173972,-0.0835406733339811
2016-05-10,42055,15847,15226,13063,8739,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,150.1999969482422,-0.10281773867554393,4324,-0.627788253690843,621,0.8255530515568229,0.012521786992019081,0.011553438676664628,0.04741982804173972,-0.004494028398618455,-0.08504882016966425
2016-05-17,40396,15482,14661,12802,8771,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,149.52499389648438,-0.09978710763441925,4031,-0.6967066936155035,821,0.4755677089525621,0.01358179205488342,0.03085293434628272,-0.004494028398618455,-0.023574613210984086,-0.08700238095043197
2016-05-24,40301,15136,15488,13571,8767,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,146.0,-0.11920299744423216,4804,1.9135557976037232,-352,-2.903752846816517,0.03460470946369416,0.03830329153605016,-0.023574613210984086,0.0075342883802440586,-0.08983985869355246
2016-05-31,37704,14771,15102,12865,7735,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,147.10000610351562,-0.13605983450031828,5130,0.8089129302002432,-331,0.052107888141733456,0.08436893203883496,0.025139758310179762,0.0075342883802440586,-0.011216921052418671,-0.093494280566494
2016-06-07,38926,15029,15494,13845,8120,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,145.4499969482422,-0.14707393515901968,5725,1.5780819011245493,-465,-0.3553999575641842,0.062144320509902116,0.02129541657111031,-0.011216921052418671,-0.022688230464054993,-0.09699680735547735
2016-06-14,40247,15616,16404,13910,8395,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,142.14999389648438,-0.1370288468705742,5515,-0.5394851770025175,-788,-0.829779581770539,0.015243219009190765,0.04675202998126171,-0.022688230464054993,-0.02022511518427228,-0.10000145296989818
2016-06-21,41425,16154,17109,14531,8881,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,139.27499389648438,-0.1363910681955341,5650,0.33542872760702663,-955,-0.4149377593360996,0.047283444387493594,0.03736884826984938,-0.02022511518427228,0.010052121462047925,-0.10303035201371433
2016-06-28,41714,15747,15973,14971,8970,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,140.6750030517578,-0.1438605743874958,6001,0.8473144236572118,-226,1.7598068799034399,0.022095985965498516,0.04864438839848676,0.010052121462047925,0.024169140378361487,-0.10605694440387664
