,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,OJ_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,10893,3020,1612,5815,7695,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,142.60000610351562,0.17258790048655098,-1880,,1408,,,,,0.005960664855158226,,
2015-01-13,10939,2602,1600,6193,7578,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,143.4499969482422,0.12661120760581407,-1385,4.544202698980997,1002,-3.7271642339116866,0.03594510202599666,0.10233222275107091,0.005960664855158226,0.021261785407066025,,
2015-01-20,10931,2929,1494,5797,7950,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,146.5,0.1969627664440582,-2153,-7.020751439802542,1435,3.9583142883261724,0.055866734560267695,0.09789735473660412,0.021261785407066025,-0.03447101059220348,,0.013519424481141906
2015-01-27,11239,2985,1465,6038,7982,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,141.4499969482422,0.17296912536702552,-1944,1.9119934132284326,1520,0.7776049766718507,0.019472182596291014,0.019101123595505618,-0.03447101059220348,-0.011311352981591138,,-0.00241911046633265
2015-02-03,11534,2817,2128,6688,7105,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,139.85000610351562,0.03615397953875499,-417,13.586618026514815,689,-7.393896254115134,0.11070833031247734,0.16804853387259858,-0.011311352981591138,-0.028602072402050815,,-0.004650776442292832
2015-02-10,12121,2922,2259,6960,7452,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,135.85000610351562,0.040590710337430905,-492,-0.6502514305531473,663,-0.225420495925091,0.04295031917846239,0.045551051920478675,-0.028602072402050815,0.01361789298203564,,-0.013369639299698404
2015-02-17,12253,2618,2331,7323,7575,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,137.6999969482422,0.020566391904023505,-252,1.9800346506063857,287,-3.1020542859500044,0.03262182843334676,0.07597494443321884,0.01361789298203564,-0.10021783390126249,,-0.015308210797486881
2015-02-24,14472,2619,4609,9419,7203,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,123.9000015258789,-0.1531232725262576,2216,20.142006039337303,-1990,-18.58320411327838,0.14847792082781855,0.3153016048699502,-0.10021783390126249,-0.060129172606028014,,-0.03213932074026296
2015-03-03,14091,2582,6000,9039,5394,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,116.4499969482422,-0.2586757504790292,3645,9.874239911553344,-3418,-9.867330016583747,0.1516663202383427,0.16639477977161501,-0.060129172606028014,0.022756561574292844,,-0.04482248214620881
2015-03-10,15049,2399,7127,10501,5437,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,119.0999984741211,-0.3365007641703768,5064,10.070257611241217,-4728,-9.296714214747,0.09442841008909525,0.13751837077472182,0.022756561574292844,-0.057514681459962524,,-0.03148358557644533
2015-03-17,15716,2358,7582,11186,5430,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,112.25,-0.36625095444133365,5756,4.59831218021131,-5224,-3.2959000598046377,0.041646605681271064,0.049899396378269616,-0.057514681459962524,0.13986634252331576,,-0.05000599867489541
2015-03-24,16531,2130,7124,12040,6868,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,127.9499969482422,-0.3128667352247293,5172,-3.7159582590990072,-4994,1.4634767116314584,0.12121853183837529,0.07413010590015129,0.13986634252331576,-0.022274314514239335,,0.01118201015134687
2015-03-31,15660,2350,5735,10613,7205,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,125.0999984741211,-0.21762452107279692,3408,-10.670860806968726,-3385,9.733228479825781,0.09900101021438994,0.19901051329622757,-0.022274314514239335,-0.051558729231930944,,0.020496971507800128
2015-04-07,16319,2311,5752,11304,7559,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,118.6500015258789,-0.2294871009253018,3745,2.1519795657726695,-3441,-0.35759897828863346,0.055399459258866565,0.006945305717474886,-0.051558729231930944,-0.06278975543048582,,0.00212738983001174
2015-04-14,16723,2252,6096,11821,7571,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,111.1999969482422,-0.25414100340847934,4250,3.0945523622771005,-3844,-2.469514063361726,0.027279290429042903,0.048275035936751316,-0.06278975543048582,0.022032415871171773,,0.0008105572463656506
2015-04-21,15703,1962,5994,11492,7291,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,113.6500015258789,-0.2675284977392855,4201,-0.2930096274591879,-4032,-1.1242002033128027,0.03242293563328542,0.049270990447461034,0.022032415871171773,0.01495817796232135,,-0.02906594741560172
2015-04-28,14506,1651,5786,10797,6851,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,115.3499984741211,-0.272025368812905,3946,-1.6238935235305354,-4135,-0.6559256193084123,0.06431323662737988,0.06978620411456232,0.01495817796232135,0.01040316075865344,,-0.019528926916921513
2015-05-05,13853,1771,5751,10179,6200,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,116.5500030517578,-0.2872302028441493,3979,0.22749207224596718,-3980,1.0685233696401488,0.07747725746382562,0.0206062217495347,0.01040316075865344,0.007292994009992837,,-0.0038564266733233576
2015-05-12,14549,1960,6396,10669,5969,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,117.4000015258789,-0.32304625747474053,4700,5.204648812531581,-4436,-3.2917057677037467,0.04333453540088953,0.09980852082336046,0.007292994009992837,-0.03449747017988802,,0.013579072810513725
2015-05-19,15333,1944,7064,11145,5799,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,113.3499984741211,-0.34865975347290157,5346,4.440167709120902,-5120,-4.701354044951543,0.03812559017941454,0.07593250444049733,-0.03449747017988802,0.010586718957130703,,-0.0004608905559671709
2015-05-26,14838,1944,7066,10787,5626,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,114.5500030517578,-0.3478231567596711,5161,-1.2065479684340965,-5122,-0.01304376182090915,0.03235240358252604,0.00022197558268590456,0.010586718957130703,-0.03535576555094344,,-0.0015548572778494852
2015-06-02,15129,2096,7474,10636,5281,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,110.5,-0.3539559785841761,5355,1.3074538347486184,-5378,-1.7252999056476612,0.031161651064899164,0.05851619644723093,-0.03535576555094344,0.11719454251802897,,-0.013078533077655585
2015-06-09,14641,2083,6129,10179,6501,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,123.4499969482422,-0.251212348883273,3678,-11.08467182232798,-4046,8.804283164782866,0.10053956834532374,0.16536775450560157,0.11719454251802897,-0.027541466022959038,,0.014378143740124406
2015-06-16,14135,1962,5050,9982,7268,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,120.0500030517578,-0.19200565970993985,2714,-6.5842497097192805,-3088,6.543268902397377,0.05588405797101449,0.17113519680547631,-0.027541466022959038,0.011661756442278515,,0.016090852543345725
2015-06-23,13765,1610,4916,10055,7231,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,121.4499969482422,-0.20515800944424264,2824,0.7782101167315175,-3306,-1.5422709586133712,0.006363531181302788,0.07447134538768005,0.011661756442278515,-0.05393162278262287,,0.016355286988470018
2015-06-30,12562,1614,4457,9231,6444,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,114.9000015258789,-0.22185957650055724,2787,-0.2687976752633491,-2843,3.3636033418089357,0.10277511961722488,0.07626420688519189,-0.05393162278262287,0.08093990686561181,-0.17048972426117265,0.011776190223009896
2015-07-07,12633,1672,4513,9136,6472,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,124.1999969482422,-0.21087627641890289,2664,-0.9791434484954625,-2841,0.01592103168285305,0.007880574064582266,0.01843168957154406,0.08093990686561181,-0.022141707468366523,-0.1719855224892367,0.0027782806272857296
2015-07-14,12724,1643,4617,9222,6551,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,121.4499969482422,-0.20991826469663627,2671,0.055410432992954964,-2974,-1.0527982268661442,0.010460914220503392,0.02124600638977636,-0.022141707468366523,-0.0024701146965951937,-0.17334026328235813,0.004123569652750464
2015-07-21,12256,1683,4776,8771,5861,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,121.1500015258789,-0.23743472584856398,2910,1.8783401446086134,-3093,-0.9352404904118202,0.0779797703663204,0.03080972286731692,-0.0024701146965951937,0.01650846037812692,-0.17555041716395142,0.0005989360814778175
2015-07-28,12560,1864,4388,8513,6388,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,123.1500015258789,-0.16918789808917198,2125,-6.405026109660575,-2524,4.6426240208877285,0.05268102811891819,0.09101087651951376,0.01650846037812692,0.07145753400996946,-0.1753383331947921,0.018045335407631563
2015-08-04,12918,2256,3912,8006,7476,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,131.9499969482422,-0.04102802291376374,530,-12.699044585987263,-1656,6.910828025477707,0.10302286526288593,0.14072632944228275,0.07145753400996946,-0.004168268772098194,-0.1710057425405654,0.015714422212898947
2015-08-11,13335,3028,2870,7808,9104,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,131.39999389648438,0.09718785151856019,-1296,-14.135315064251433,158,14.042421427465552,0.10797067171239356,0.3075618853848762,-0.004168268772098194,-0.003805175214801726,-0.1626246927262177,0.02012796919994965
2015-08-18,13502,3223,2673,8023,9632,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,130.89999389648438,0.11916753073618723,-1609,-2.347206599175103,550,2.9396325459317585,0.042084395355423396,0.06648575305291723,-0.003805175214801726,-0.08365162306196461,-0.15408553443947817,0.019800801412453096
2015-08-25,13116,2809,2588,8380,9123,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,119.9499969482422,0.05664836840500152,-743,6.413864612649977,221,-2.43667604799289,0.049477232474432954,0.09245877339262554,-0.08365162306196461,0.08086700454379891,-0.14788747847346406,-0.005054636437875724
2015-09-01,12822,2950,2355,8040,9327,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,129.64999389648438,0.10037435657463734,-1287,-4.1476059774321445,595,2.851479109484599,0.0313237749755283,0.0704995287464656,0.08086700454379891,-0.025838727361617075,-0.14079428318637546,-0.002693138871392758
2015-09-08,13053,3180,2252,7964,9803,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,126.3000030517578,0.1408871523787635,-1839,-4.305100608329434,928,2.5970987365465605,0.031068835481510664,0.06130338733431517,-0.025838727361617075,-0.03167062472960347,-0.1329697988651216,-0.008140171756526619
2015-09-15,12584,2959,2494,7704,8909,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,122.3000030517578,0.09575651621106167,-1205,4.857120968359764,465,-3.547077300237493,0.06946367302714741,0.08490739042728773,-0.03167062472960347,-0.05314799540314952,-0.12678800656576528,-0.015188252423442693
2015-09-22,12954,2959,3221,8057,8137,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,115.8000030517578,0.006175698625907056,-80,8.939923712650986,-262,-5.777177368086459,0.06947017413856985,0.11763754045307444,-0.05314799540314952,-0.08290160492677012,-0.12328896169230022,-0.007475457475301997
2015-09-29,15838,2887,6043,10543,7693,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,106.1999969482422,-0.17994696300037882,2850,22.618496217384592,-3156,-22.340589779218774,0.1606711998245229,0.32407614781634936,-0.08290160492677012,0.015536737978279147,-0.12474173095660994,-0.049599716779286415
2015-10-06,17176,3035,6852,11523,8094,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,107.8499984741211,-0.19963903120633442,3429,3.655764616744538,-3817,-4.173506755903523,0.07039812407605649,0.09679376959643977,0.015536737978279147,0.12285582000429396,-0.12661416346285304,-0.03878851320625882
2015-10-13,16702,2462,6541,11847,8180,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,121.0999984741211,-0.2195545443659442,3667,1.385654401490452,-4079,-1.5253842571029343,0.020472362310880312,0.09818949239142508,0.12285582000429396,0.10239472900182389,-0.12888100202146502,0.000585567934791182
2015-10-20,13495,1964,3169,9646,8990,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,133.5,-0.048610596517228606,656,-18.027781104059393,-1205,17.207520057478146,0.1615690062245117,0.7539450613676213,0.10239472900182389,0.03445697455816954,-0.1269698018904118,0.038712334445343284
2015-10-27,13587,2328,3080,8852,9095,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,138.10000610351562,0.01788474276882314,-243,-6.6617265653945905,-752,3.3567988143756944,0.05009193737114838,0.08376479289940829,0.03445697455816954,-0.018464901803453948,-0.12360109154949935,0.06654687683950455
2015-11-03,13305,2785,3089,7918,8867,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,135.5500030517578,0.07132656895903795,-949,-5.196143372341209,-304,3.2972694487377643,0.06922847780756627,0.07933265236636024,-0.018464901803453948,0.09959424342355216,-0.11917091744703258,0.05856193635701722
2015-11-10,14428,3904,2746,7399,10396,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,149.0500030517578,0.207721097865262,-2997,-15.39270950770387,1158,10.988350244269071,0.11508850800786738,0.21984962406015038,0.09959424342355216,-0.014760126824541087,-0.11190665044009271,0.05306222713334989
2015-11-17,15536,5603,2674,6698,11435,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,146.85000610351562,0.30490473738414003,-4737,-12.059883559744941,2929,12.274743554200167,0.0959576462802625,0.2139664129515525,-0.014760126824541087,-0.0013620170154453604,-0.10284553331347895,0.02489410188850946
2015-11-24,15326,5818,2390,6232,11532,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,146.64999389648438,0.34581756492235416,-5300,-3.62384140061792,3428,3.211894953656025,0.03169331231704571,0.060794346978557505,-0.0013620170154453604,-0.042277512487443936,-0.09329950994675909,0.016121152549929896
2015-12-01,15604,5585,2231,6879,11774,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,140.4499969482422,0.3137016149705204,-4895,2.6425681847840274,3354,-0.4828396189481926,0.04765989385085509,0.05015353121801433,-0.042277512487443936,0.0199359424179244,-0.08482031984431578,0.010245977020810332
2015-12-08,14968,5306,2278,6652,11246,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,143.25,0.30692143238909675,-4594,1.9289925660087157,3028,-2.089207895411433,0.04218348418817745,0.04298523206751055,0.0199359424179244,0.02617801047120416,-0.07682559020689919,-0.009662460054093037
2015-12-15,15041,5284,2466,6710,11031,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,147.0,0.28728143075593376,-4321,1.8238909673971138,2818,-1.4029930518439337,0.015388084098979765,0.027096774193548386,0.02617801047120416,0.0027210469148597483,-0.06954344978764253,0.0006184145888344842
2015-12-22,14182,5443,2025,6178,10946,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,147.39999389648438,0.3362008179382316,-4768,-2.97187686988897,3418,3.9890964696496245,0.03603130109787433,0.08034279592929834,0.0027210469148597483,0.006105896828635604,-0.061587679832233226,0.0016380295259614437
2015-12-29,14241,5589,1989,5941,11214,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,148.3000030517578,0.3702689417877958,-5273,-3.560851783951488,3600,1.2833168805528135,0.02943748178373652,0.024016891000263923,0.006105896828635604,-0.04180712623504357,-0.05328274480107883,0.013641750911577285
2016-01-05,14025,5476,2197,5937,10876,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,142.10000610351562,0.35215686274509805,-4939,2.3453409170704305,3279,-2.254055192753318,0.020341402486171414,0.04183500586472045,-0.04180712623504357,-0.0710767464440365,-0.049829495526876,-0.00170199056967211
2016-01-12,12705,4012,2006,6319,9368,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,132.0,0.23998425816607635,-3049,13.475935828877006,2006,-9.076648841354723,0.12048192771084337,0.275008308408109,-0.0710767464440365,-0.052651492032137925,-0.04764924455456327,-0.026358587596151218
2016-01-19,12068,2763,1795,6995,8507,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,125.0500030517578,0.12529002320185614,-1512,12.097599370326643,968,-8.170011806375442,0.09914849696813315,0.3203159280386134,-0.052651492032137925,-0.006797329730282242,-0.04902756653999022,-0.04067342948434241
2016-01-26,12835,2771,2673,7907,8473,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,124.1999969482422,0.04409816906895209,-566,7.838912827311899,98,-7.209148160424263,0.057753357753357756,0.16274797942689198,-0.006797329730282242,0.0994364445005762,-0.05150585416110703,-0.04403880207978457
2016-02-02,12671,2538,2023,8077,8873,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,136.5500030517578,0.06282061400047352,-796,-1.7919750681729647,515,3.2489287105570703,0.033628318584070796,0.1935978951984214,0.0994364445005762,-0.031856506820192476,-0.05099303426761243,-0.007802642523429318
2016-02-09,12806,2592,1576,8231,9401,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,132.1999969482422,0.09136342339528346,-1170,-2.9516218135900876,1016,3.95391050430116,0.03867967332123412,0.12020153550863724,-0.031856506820192476,0.029500826363863863,-0.05001663593957681,0.0020307156799826438
2016-02-16,12275,2760,1324,7418,9285,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,136.10000610351562,0.15209775967413441,-1867,-5.442761205684835,1436,3.2797126347024834,0.05561875112255284,0.10284035259549461,0.029500826363863863,-0.06980166938544419,-0.04748718655938237,0.022319905876999065
2016-02-23,11608,2485,1544,7550,8734,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,126.5999984741211,0.1019986216402481,-1184,5.564154786150713,941,-4.032586558044807,0.04194301154507492,0.12285927029039465,-0.06980166938544419,-0.026066314866803553,-0.042580996286949564,0.006796624198098967
2016-03-01,11061,2564,1430,7101,8597,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,123.3000030517578,0.13524997739806527,-1496,-2.6878015161957274,1134,1.662646450723639,0.03732959612689515,0.04832248372558838,-0.026066314866803553,-0.04014602153382618,-0.03500550152008237,-0.02486244109198779
2016-03-08,12416,2786,2331,7877,8560,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,118.3499984741211,0.05500966494845361,-683,7.350149172769189,455,-6.138685471476359,0.04946158058039788,0.21946452999804572,-0.04014602153382618,0.08660758564889925,-0.027476454806258706,-0.026989250071378614
2016-03-15,12196,2897,2427,7595,8278,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,128.60000610351562,0.056001967858314204,-683,0.0,470,0.1208118556701031,0.03553203553203553,0.03888054094665665,0.08660758564889925,0.0419906192861117,-0.019356206300496243,-0.012428520113780147
2016-03-22,12814,3214,2133,7642,8930,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,134.0,0.10051506165131888,-1288,-4.960642833715973,1081,5.009839291571007,0.04217958001448226,0.11426968393491678,0.0419906192861117,0.02014923095703125,-0.011406556360572242,0.015476092242095037
2016-03-29,13232,3543,1629,7619,10060,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,136.6999969482422,0.1844770253929867,-2441,-8.99797096925238,1914,6.500702356797253,0.06521862096272414,0.16105955143078113,0.02014923095703125,0.0479151660423065,-0.0036738343131533274,0.026788320999671038
2016-04-05,14285,5442,734,6525,12262,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,143.25,0.4016100805040252,-5737,-24.9093107617896,4708,21.115477629987907,0.17544046415074255,0.4523963730569948,0.0479151660423065,-0.05095988168766363,0.00846264994510296,0.04799522970567725
2016-04-12,13564,5346,719,5776,11611,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,135.9499969482422,0.4301828369212622,-5835,-0.6860343017150857,4627,-0.5670283514175709,0.08051992868234888,0.018301731244847484,-0.05095988168766363,-0.01250457511146097,0.02162272379759799,0.014665714402039662
2016-04-19,13145,4825,578,6102,11349,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,134.25,0.399163179916318,-5247,4.335004423473902,4247,-2.801533470952521,0.03369434416365824,0.12252452341291875,-0.01250457511146097,-0.08193668528864062,0.03444371759866729,0.0011493243237474325
2016-04-26,12904,4041,829,6776,10845,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,123.25,0.3153285802851829,-4069,8.96158235070369,3212,-7.873716241917078,0.06685205152942512,0.21252566735112938,-0.08193668528864062,0.08316430020283971,0.045738985850553596,-0.024673394136695906
2016-05-03,12056,3549,770,6636,10297,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,133.5,0.30366622428666223,-3661,3.1618102913825172,2779,-3.355548667079975,0.04063072107718656,0.1275758277379023,0.08316430020283971,0.08951308575462313,0.05710237867999227,-0.015681525394415554
2016-05-10,12824,3742,539,6904,11160,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,145.4499969482422,0.3318777292576419,-4256,-4.93530192435302,3203,3.5169210351692106,0.06261071744906997,0.09904227984115861,0.08951308575462313,0.0061877564397179174,0.0696970707325381,0.019370211650695388
2016-05-17,13167,4342,647,6259,11332,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,146.35000610351562,0.3852813852813853,-5073,-6.370867124142234,3695,3.836556456643793,0.046444204422716164,0.14191220685508119,0.0061877564397179174,-0.00580803599635249,0.08381132340088977,0.02394317502938888
2016-05-24,14296,5258,693,6261,12092,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,145.5,0.40787632904308896,-5831,-5.756816283132073,4565,6.60742766005924,0.041519097695199694,0.16165350361283817,-0.00580803599635249,0.048453629221703265,0.09834400582017361,0.04235452513129085
2016-05-31,15081,5628,1027,6444,12568,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,152.5500030517578,0.40607386778065113,-6124,-2.0495243424734193,4601,0.2518186905428092,0.034662318535661686,0.10578512396694215,0.048453629221703265,0.09800063355731226,0.1129599644041126,0.034001935196845925
2016-06-07,17560,7397,1319,6576,14580,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,167.5,0.4558086560364465,-8004,-12.466016842384457,6078,9.793780253298854,0.10134240877292494,0.2364616796695732,0.09800063355731226,-0.02238805970149249,0.12655652219103028,0.03605078636070733
2016-06-14,17891,7815,1395,6501,14794,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,163.75,0.46352914873400036,-8293,-1.6457858769931661,6420,1.947608200455581,0.013571260859356657,0.053637350705754615,-0.02238805970149249,0.008244312082538174,0.13916296081495222,0.02913593786670719
2016-06-21,16925,7625,1166,6019,14177,040701,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,165.10000610351562,0.4820088626292467,-8158,0.7545693365379241,6459,0.21798669722206698,0.05441671618142206,0.04766238198157206,0.008244312082538174,0.00666257301066886,0.152377708354827,0.032542336191037906
