,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,RR_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,8860,869,4531,5892,2394,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1136.0,-0.39480812641083524,3498,,-3662,,,,,-0.010563380281690127,,
2015-01-13,8446,887,4821,5859,1844,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1124.0,-0.4753729576130713,4015,5.835214446952596,-3934,-3.069977426636569,0.07568479813059847,0.0539593552908199,-0.010563380281690127,0.0022241992882561235,,
2015-01-20,8704,917,4986,6018,1853,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1126.5,-0.478515625,4165,1.7759886336727444,-4069,-1.5983897703054701,0.02134417481895566,0.033034050482805354,0.0022241992882561235,-0.026187305814469597,,-0.004178307478439696
2015-01-27,9045,1013,5038,5909,1746,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1097.0,-0.4602542841348812,4163,-0.022977941176470586,-4025,0.5055147058823529,0.02821685173089484,0.024458767145926295,-0.026187305814469597,-0.05332725615314493,,-0.011575568061295038
2015-02-03,10288,1012,4977,5969,2056,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1038.5,-0.380346034214619,3913,-2.7639579878385847,-3965,0.6633499170812603,0.04610591900311527,0.010352312573050592,-0.05332725615314493,-0.014443909484833872,,-0.022208222877539437
2015-02-10,10440,989,4804,5880,2189,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1023.5,-0.353544061302682,3691,-2.1578538102643856,-3815,1.45800933125972,0.027512702937166934,0.033833937510788885,-0.014443909484833872,0.04347826086956519,,-0.02320063338714849
2015-02-17,9667,925,4664,5763,2115,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1068.0,-0.3773662977138719,3648,-0.41187739463601536,-3739,0.7279693486590039,0.024244732165524245,0.03650026838432636,0.04347826086956519,-0.02200374531835203,,-0.012700361896835159
2015-02-24,9177,778,4763,5610,1712,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1044.5,-0.42475754603901056,3898,2.586117720078618,-3985,-2.54473983655736,0.07593553673859602,0.04439631835408771,-0.02200374531835203,-0.0081378650071805,,-0.011641664498793485
2015-03-03,9089,778,4814,5725,1637,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1036.0,-0.44977445263505333,4088,2.070393374741201,-4036,-0.5557371690094802,0.02580820429231187,0.009120171673819743,-0.0081378650071805,-0.006756756756756799,,-0.00027685305547107806
2015-03-10,8963,770,4889,5732,1566,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1029.0,-0.4647997322325114,4166,0.8581802178457476,-4119,-0.9131917702717571,0.01068785968758564,0.014666902279554691,-0.006756756756756799,0.03255587949465499,,0.0016436219599022764
2015-03-17,8862,763,5046,5654,1600,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1062.5,-0.4574588129090499,4054,-1.2495816132991187,-4283,-1.829744505187995,0.015439757375241246,0.028232053709760715,0.03255587949465499,0.04705882352941182,,-0.0010862116112032988
2015-03-24,8705,710,4897,5397,1639,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1112.5,-0.43170591614014936,3758,-3.3401038140374637,-4187,1.0832769126607988,0.04206935758953951,0.036026395576957373,0.04705882352941182,-0.022471910112359605,,0.016050518810261444
2015-03-31,9228,755,4814,5370,1572,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1087.5,-0.4115734720416125,3798,0.4595060310166571,-4059,1.4704192992533027,0.013540766349755113,0.022984377805710183,-0.022471910112359605,-0.017931034482758568,,0.012517833025249921
2015-04-07,10098,758,4760,5555,1626,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1068.0,-0.3890869479104773,3929,1.4195925444299955,-4002,0.6176853055916776,0.03328227266397438,0.010329829648423342,-0.017931034482758568,-0.04400749063670417,,0.009755202517107377
2015-04-14,11168,673,5107,5788,1217,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1021.0,-0.40929441260744986,4571,6.357694592988711,-4434,-4.27807486631016,0.09164882226980728,0.07474048442906574,-0.04400749063670417,-0.022526934378060748,,-0.009381774466844916
2015-04-21,11291,745,5340,6232,1536,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,998.0,-0.4159064741829776,4696,1.119269340974212,-4595,-1.4416189111747852,0.09822348094747682,0.05012325390304026,-0.022526934378060748,-0.0015030060120240218,,-0.0270982046707846
2015-04-28,11328,625,5448,6551,1712,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,996.5,-0.4271716101694915,4839,1.266495438845098,-4823,-2.0193074129837925,0.05990560329178265,0.03754322410670179,-0.0015030060120240218,-0.024586051179126933,,-0.021726435333686556
2015-05-05,10826,655,5556,6603,1461,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,972.0,-0.4749676704230556,5142,2.6747881355932206,-4901,-0.6885593220338982,0.03757440476190476,0.02221864434068588,-0.024586051179126933,-0.05144032921810704,,-0.02342817963801672
2015-05-12,11196,780,5965,6512,1507,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,922.0,-0.44703465523401215,5005,-1.265472011823388,-5185,-2.6233142434878993,0.0170844244918319,0.07916975537435138,-0.05144032921810704,0.04663774403470722,,-0.02533224931608306
2015-05-19,11169,871,5941,6262,1496,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,965.0,-0.42671680544363866,4766,-2.1346909610575207,-5070,1.0271525544837443,0.033642691415313224,0.016881972988843218,0.04663774403470722,-0.023834196891191706,,-0.007752886702600274
2015-05-26,11572,882,5982,6351,1693,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,942.0,-0.40252333218112685,4658,-0.9669621273166802,-5100,-0.26860059092130006,0.03555445052212829,0.007575757575757576,-0.023834196891191706,0.03768577494692149,,-0.013395022393103114
2015-06-02,12232,1097,6078,6240,1659,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,977.5,-0.37450948332243295,4581,-0.6653992395437262,-4981,1.0283442792948496,0.01835675401949614,0.04334494773519164,0.03768577494692149,0.020971867007672618,,0.002259693187266112
2015-06-09,12034,943,5530,6011,1746,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,998.0,-0.35441249792255275,4265,-2.583387835186396,-4587,3.2210595160235442,0.040737398478793346,0.10845048663679902,0.020971867007672618,-0.018036072144288595,,0.020160697764167377
2015-06-16,11101,1061,5537,5957,1820,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,980.0,-0.37266912890730564,4137,-1.0636529832142263,-4476,0.9223865713810869,0.016458788736016458,0.01894513488936041,-0.018036072144288595,0.0035714285714285587,,0.004188061046287992
2015-06-23,9610,1171,5482,5422,1515,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,983.5,-0.4065556711758585,3907,-2.071885415728313,-4311,1.4863525808485722,0.12108980827447023,0.024800841725537353,0.0035714285714285587,0.033553634977122604,,0.010987663524114104
2015-06-30,9586,1221,4981,5120,2082,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1016.5,-0.31692050907573543,3038,-9.042663891779396,-3760,5.733610822060354,0.1206609275201333,0.08884230893260239,0.033553634977122604,0.047220855878012724,-0.4145402506516716,0.009965394703057937
2015-07-07,9302,1232,5383,5391,2110,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1064.5,-0.3527198451945818,3281,2.5349467974128936,-4151,-4.0788650114750675,0.03986135181975736,0.06243386243386243,0.047220855878012724,0.02442461249412875,-0.4122506060051127,0.01644155563004299
2015-07-14,9056,1404,4865,5109,2571,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1090.5,-0.28025618374558303,2538,-7.987529563534723,-3461,7.417759621586756,0.09674479166666666,0.11006540118041155,0.02442461249412875,0.009170105456212774,-0.40753651949584385,0.026829481984863218
2015-07-21,8726,1385,4573,4816,2485,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1100.5,-0.26713270685308277,2331,-2.2857773851590104,-3188,3.014575971731449,0.05191069716477195,0.05219872440416247,0.009170105456212774,-0.002271694684234493,-0.402695008715059,0.028191170567666544
2015-07-28,8697,1226,4346,4822,2576,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1098.0,-0.25824997125445553,2246,-0.9741003896401559,-3120,0.7792803117121246,0.013111651797783185,0.06927494615936827,-0.002271694684234493,0.043260473588342396,-0.39788017413303883,0.019445671228304998
2015-08-04,9418,1389,4153,4585,2627,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1145.5,-0.20789976640475685,1958,-3.3114867195584687,-2764,4.0933655283431065,0.03993344425956739,0.06423673763984121,0.043260473588342396,0.02924487123526842,-0.3917517738837394,0.01847417098833149
2015-08-11,10093,1313,3970,4621,3094,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1179.0,-0.15129297532943625,1527,-4.576343172648121,-2657,1.1361223189636864,0.06519766688269604,0.049025175089911034,0.02924487123526842,0.004240882103477617,-0.38423743642891744,0.019656478282518385
2015-08-18,10188,1459,4058,4416,3063,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1184.0,-0.1328032979976443,1353,-1.7239671059149906,-2599,0.5746557019716636,0.03155502072469581,0.04241435562805873,0.004240882103477617,-0.041807432432432456,-0.3766182201128183,0.01844742811542192
2015-08-25,11434,1268,3329,5135,4406,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1134.5,-0.0637572153227217,729,-6.124852767962309,-2061,5.280722418531606,0.21611990357404884,0.2001305199042854,-0.041807432432432456,0.02203613926840009,-0.367416425854286,0.008696771836333531
2015-09-01,9945,1346,3142,5138,4468,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1159.5,-0.06737053795877325,670,-0.516004897673605,-1796,2.3176491166695823,0.006766604205704768,0.05904634581105169,0.02203613926840009,0.035791289348857225,-0.3588436862001285,0.0034227507435817136
2015-09-08,9872,1553,3529,5084,4392,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1201.0,-0.07009724473257699,692,0.2212166918049271,-1976,-1.809954751131222,0.013718868720979317,0.11688311688311688,0.035791289348857225,0.07993338884263124,-0.35082295171491873,0.005052434502036154
2015-09-15,10703,2070,3502,5211,5239,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1297.0,0.002616088947024199,-28,-7.293354943273905,-1432,5.510534846029174,0.09320574162679426,0.09763101220387653,0.07993338884263124,-0.017347725520431734,-0.3412705452105419,0.023705145944025143
2015-09-22,10960,2332,3634,5231,5312,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1274.5,0.007390510948905109,-81,-0.4951882649724376,-1302,1.2146127254040924,0.008821018685383666,0.06604089842440496,-0.017347725520431734,0.045508042369556634,-0.3320952542589775,0.029659062249190658
2015-09-29,11590,2529,3812,5207,5817,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1332.5,0.05263157894736842,-610,-4.826642335766423,-1283,0.17335766423357665,0.04798621190130624,0.059138937076170954,0.045508042369556634,0.0030018761726078314,-0.32223046366394303,0.035339391290178795
2015-10-06,12473,3072,4211,5463,6170,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1336.5,0.05668243405756434,-707,-0.8369283865401207,-1139,1.2424503882657463,0.052351070231238715,0.1293423039956062,0.0030018761726078314,-0.057613168724279795,-0.3127576412209053,0.0273951967966361
2015-10-13,12471,2918,3966,5594,6298,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1259.5,0.0564509662416807,-704,0.024051952216788262,-1048,0.729575883909244,0.021779347460477633,0.057960488088320744,-0.057613168724279795,-0.03334656609765785,-0.30375255323401296,-0.006634704985533523
2015-10-20,13108,2100,3740,6593,6638,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1217.5,0.0034330180042722,-45,5.284259481998236,-1640,-4.74701307032315,0.10120172322575768,0.17876712328767122,-0.03334656609765785,-0.047227926078028726,-0.29643861106167285,-0.010669167765167919
2015-10-27,12747,1761,3602,7113,6674,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1160.0,-0.0344394759551267,439,3.6924015868172106,-1841,-1.5334147085749161,0.040327845071444116,0.08894275592019392,-0.047227926078028726,0.02543103448275863,-0.2903456079196602,-0.03438074872932748
2015-11-03,12120,1653,3094,6702,6321,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1189.5,-0.031435643564356436,381,-0.4550090217306033,-1441,3.1379932533145056,0.05866543807110497,0.1297661681061723,0.02543103448275863,-0.021857923497267784,-0.2844612905479487,-0.028594099019798452
2015-11-10,12523,1649,2794,7188,6789,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1163.5,-0.03186137506987144,399,0.1485148514851485,-1145,2.442244224422442,0.06825499034127495,0.06842223722709881,-0.021857923497267784,0.03695745595186928,-0.2788479590928803,-0.01943804596752968
2015-11-17,12435,1725,2591,6971,6864,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1206.5,-0.008604744672295939,107,-2.3317096542362052,-866,2.227900662780484,0.02110589085652331,0.06464318813716403,0.03695745595186928,0.010360547036883494,-0.2729731066054763,-0.0016757430586150656
2015-11-24,12382,1520,2548,6977,6631,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1219.0,-0.02794378937166855,346,1.9219943707277845,-1028,-1.3027744270205066,0.017563198118753676,0.06096361848574238,0.010360547036883494,-0.038966365873666975,-0.26775971687709743,0.012642523937704167
2015-12-01,12980,1588,2626,6858,6536,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1171.5,-0.024807395993836672,322,-0.1938297528670651,-1038,-0.08076239702794379,0.015977303270120948,0.03464641670621737,-0.038966365873666975,-0.06359368331199322,-0.2626982101920295,-0.0033822850783634113
2015-12-08,14485,2196,3309,7654,6999,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1097.0,-0.045219192267863306,655,2.5654853620955316,-1113,-0.5778120184899845,0.08592097181464546,0.23451407811080835,-0.06359368331199322,-0.006381039197812188,-0.25825986288745467,-0.013906763887352297
2015-12-15,15297,2637,3619,7726,7094,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1090.0,-0.04131529057985226,632,-0.15878494994822231,-982,0.904383845357266,0.01126855600539811,0.12004475703324809,-0.006381039197812188,-0.00596330275229362,-0.2539209714413026,-0.024953910445746318
2015-12-22,15787,2770,4018,7660,7087,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1083.5,-0.03629568632419079,573,-0.38569654180558277,-1248,-1.7389030528861866,0.004950159354444972,0.07837360047142015,-0.00596330275229362,0.07660359944623907,-0.24965380898802592,-0.029146767856831145
2015-12-29,14275,1697,3959,7699,5985,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1166.5,-0.12007005253940456,1714,7.227465636283018,-2262,-6.423006270982453,0.08338205203156972,0.20014144271570014,0.07660359944623907,0.0004286326618088143,-0.24716181367170625,0.00016637970416434486
2016-01-05,13412,1726,3987,7497,5828,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1167.0,-0.12444079928422308,1669,-0.31523642732049034,-2261,0.0070052539404553416,0.02694183864915572,0.009977244880098022,0.0004286326618088143,-0.015424164524421635,-0.24196244199619452,0.016042599143220305
2016-01-12,13469,1928,4086,7234,5876,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1149.0,-0.10082411463360309,1358,-2.318818968088279,-2158,0.7679689830002983,0.02372234935163997,0.05004988360492185,-0.015424164524421635,-0.05352480417754568,-0.23475957963120475,0.013815318698135416
2016-01-19,13543,1992,4055,7364,5895,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1087.5,-0.10846931994388245,1469,0.8241146336030885,-2063,0.7053233350657064,0.011237649898182366,0.015710269555151316,-0.05352480417754568,0.01839080459770126,-0.22764330453397172,0.0020187767498044155
2016-01-26,13223,1803,4398,7684,5555,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1107.5,-0.16100733570294185,2129,4.873366314701322,-2595,-3.92822860518349,0.0498527079084523,0.08579261409450088,0.01839080459770126,0.009029345372460584,-0.22188855552566517,-0.012611575514797102
2016-02-02,13040,1754,4322,7603,5519,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1117.5,-0.1598159509202454,2084,-0.340316115858731,-2568,0.2041896695152386,0.008916323731138546,0.02057274522712311,0.009029345372460584,-0.03713646532438475,-0.21764759238538878,-0.010436475732224016
2016-02-09,13444,1829,4472,7831,5653,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1076.0,-0.16200535554894377,2178,0.7208588957055215,-2643,-0.5751533742331288,0.026846633046573715,0.03570861767973338,-0.03713646532438475,0.0074349442379182396,-0.21396415573627842,-0.0159365955173683
2016-02-16,13293,1953,4319,7614,5547,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1084.0,-0.15549537350485218,2067,-0.8256471288307051,-2366,2.0603986908658136,0.024542208038902818,0.04416454081632653,0.0074349442379182396,-0.022601476014760147,-0.20969740719379726,-0.0005705054863879176
2016-02-23,12383,1492,4632,7520,4974,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1059.5,-0.20560445772429944,2546,3.6034002858647405,-3140,-5.822613405551794,0.053385625100048024,0.1263879817112998,-0.022601476014760147,-0.021236432279377104,-0.2054829247262067,-0.010877357471109728
2016-03-01,11665,1863,4649,7095,4606,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1037.0,-0.2133733390484355,2489,-0.46030848744246144,-2786,2.8587579746426552,0.06777198530040167,0.05958230958230958,-0.021236432279377104,-0.007232401157184154,-0.20093674946492554,-0.01855595920192767
2016-03-08,11923,2061,4671,7019,4839,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1029.5,-0.18283988928960831,2180,-2.6489498499785684,-2610,1.508786969567081,0.026058357227188397,0.032679738562091505,-0.007232401157184154,0.0072850898494414285,-0.19551444479294666,-0.010968779011861213
2016-03-15,12495,2001,4578,7236,4973,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1037.0,-0.1811124449779912,2263,0.6961335234420867,-2577,0.2767759791998658,0.028749283315586863,0.023255813953488372,0.0072850898494414285,0.0033751205400192053,-0.1902000915635032,-0.011006656518204379
2016-03-22,12648,2079,4675,7113,4965,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1040.5,-0.1698292220113852,2148,-0.9203681472589036,-2596,-0.1520608243297319,0.010846166583871502,0.025910571513177376,0.0033751205400192053,-0.03267659778952425,-0.1851640012917962,-0.00446209612223321
2016-03-29,12968,1928,4926,7330,4734,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1006.5,-0.20018507094386181,2596,3.542061986084757,-2998,-3.178368121442125,0.03713527851458886,0.05865188211263496,-0.03267659778952425,-0.02732240437158473,-0.18109883973222407,-0.007339062295138926
2016-04-05,13013,1908,4528,7420,5266,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,979.0,-0.1655267809113963,2154,-3.408389882788402,-2620,2.9148673658235658,0.04903042724262967,0.06494717215661902,-0.02732240437158473,-0.0005107252298263143,-0.1767996057514725,-0.012411401727563845
2016-04-12,12977,1970,4401,7266,5268,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,978.5,-0.15396470678893426,1998,-1.1988011988011988,-2431,1.4523937600860677,0.01244614648157013,0.02966567257887302,-0.0005107252298263143,0.058763413387838526,-0.17188941910111646,-0.01438664498894147
2016-04-19,12029,1482,3770,6890,4876,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1036.0,-0.1674287139413085,2014,0.12329506049163905,-2288,1.1019496031440241,0.06527281998980113,0.21306169078446305,0.058763413387838526,0.05694980694980689,-0.16711100063493053,-0.0004366738289143216
2016-04-26,10750,1399,3259,6420,4934,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1095.0,-0.1382325581395349,1486,-4.389392301936986,-1860,3.558068002327708,0.046503434912806056,0.1275225418634607,0.05694980694980689,0.020091324200913308,-0.16155448040358522,0.021732159339636556
2016-05-03,9760,1477,2449,5947,5383,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1117.0,-0.05778688524590164,564,-8.576744186046511,-972,8.26046511627907,0.08137687555163284,0.22618441161487518,0.020091324200913308,0.0,-0.15353177299633222,0.033264021496106744
2016-05-10,9482,1567,2139,5445,5623,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1117.0,0.018772410883779792,-178,-7.602459016393443,-572,4.098360655737705,0.06704011564871702,0.10793308148947653,0.0,0.08415398388540729,-0.1445739448017593,0.033387517846411856
2016-05-17,10006,1681,1826,5181,6416,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1211.0,0.12342594443334,-1235,-11.147437249525415,-145,4.503269352457288,0.09114426144692593,0.1217564870259481,0.08415398388540729,-0.04459124690338567,-0.13399427653489432,0.03950795916249586
2016-05-24,9836,1726,1569,5046,6556,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1157.0,0.15351769011793412,-1510,-2.7483509894063562,157,3.018189086548071,0.023702809860368903,0.09165402124430956,-0.04459124690338567,-0.05445116681071738,-0.12330117995222009,0.014803402258273294
2016-05-31,9753,2042,1649,5051,6350,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1094.0,0.13318978775761303,-1299,2.1451809678731193,393,2.3993493289955268,0.018507148495745987,0.1072879978325657,-0.05445116681071738,0.07312614259597816,-0.11353773243144999,-0.003729051736058911
2016-06-07,9753,2035,1768,5076,6288,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1174.0,0.12426945555213781,-1212,0.8920332205475239,267,-1.2919101814826206,0.007655755015839493,0.03313173810149882,0.07312614259597816,-0.0379045996592845,-0.10433231024924439,0.014454457367293318
2016-06-14,9764,2229,1707,4792,6333,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1129.5,0.15782466202376075,-1541,-3.373321029426843,522,2.614580129191018,0.029573033707865168,0.06478658536585366,-0.0379045996592845,-0.02346170872067288,-0.09413050657749311,-0.016083872492234665
2016-06-21,9847,2226,1628,4914,6350,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1103.0,0.14583121762973494,-1436,1.0753789430561247,598,0.7783695206882425,0.012340198863636364,0.02127659574468085,-0.02346170872067288,-0.03218495013599276,-0.08350768179277016,-0.01073019634938942
2016-06-28,9537,2043,2074,5014,5486,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1067.5,0.04949145433574499,-472,9.7897836904641,-31,-6.3877323042551035,0.09180952380952381,0.15278115132377945,-0.03218495013599276,-0.03653395784543323,-0.07646129788101093,-0.005119360573682875
